Oak,Elm,Pecan,Crape Myrtle,Ashe Juniper,other,total_diameter,sensor_index
1192,426,2,49,10,130,22595.5,2862
873,681,372,163,99,1699,48350.25,4041
45,3,2,0,0,7,1053.0,14983
1918,666,454,419,378,1694,67157.5,15101
1980,664,460,442,378,1724,68426.0,15103
1938,668,456,434,378,1711,67831.5,15105
1171,472,165,382,43,1222,39998.9,15233
505,226,166,157,52,828,25298.25,16407
1460,571,136,545,43,1415,47744.8,20007
707,426,72,135,5,750,19854.13,21861
128,42,3,3,10,136,4123.05,22651
1234,216,1,8,191,138,19194.05,26125
895,384,180,231,553,1410,45559.25,26513
2719,1926,1389,1082,323,3022,143850.1,27183
1929,1238,802,865,246,2716,98020.2,27187
2931,1913,1394,1098,317,3097,145331.1,27395
2379,1705,1382,1036,324,2938,135672.35,27453
2955,2039,1395,1100,317,3048,146498.35,27455
581,344,8,46,5,150,13431.0,27461
2651,1804,1408,1094,324,3009,140692.1,27463
2265,1784,1382,1062,330,3008,135350.7,27485
2691,1672,1355,1098,236,2958,134058.6,27491
3033,2328,1391,1078,323,3225,150905.7,27511
2946,2091,1390,1099,317,3021,146887.35,27519
3380,2421,1655,1163,313,3328,164514.1,27533
2996,1777,1547,1160,163,3130,148474.2,27539
3170,2296,1427,1126,313,3253,153723.85,27547
3315,2345,1477,1143,301,3279,157399.85,27563
2319,1747,1384,1032,324,2988,135491.85,27567
2815,1613,1480,1112,181,3063,139618.1,27569
2754,2122,1373,1078,326,3151,145598.2,27571
3494,2382,1726,1211,266,3215,164203.1,27573
2511,1634,1257,1049,346,3021,129955.6,27897
1087,461,302,462,6,1346,46116.95,28095
1302,1712,836,587,172,2048,79458.2,28831
496,290,9,37,3,169,11976.0,29667
314,72,7,29,2,183,6881.0,29671
591,344,9,42,5,160,13853.0,29675
78,16,8,2,1,44,1233.0,29685
72,7,2,2,0,35,1401.0,29695
85,13,5,13,0,120,2569.9,29701
737,699,365,152,76,1529,45859.75,29715
299,51,11,28,2,201,7047.0,29733
477,198,11,32,2,192,10616.0,29735
277,71,4,13,2,128,5816.0,29743
377,110,10,31,2,199,8412.5,29751
774,694,365,154,86,1627,46558.25,29763
93,13,9,5,0,82,1860.0,29765
171,23,7,18,2,193,4448.0,29769
187,25,7,11,2,188,4459.0,29771
105,10,5,8,2,123,3145.0,29773
53,4,5,0,0,41,994.0,29775
112,15,9,4,0,103,2565.0,29777
665,719,354,147,76,1437,44809.25,29779
237,37,10,25,2,198,5826.0,29781
158,19,7,8,2,173,3999.0,29785
480,292,4,25,3,132,10886.0,29787
195,23,11,22,2,214,5361.0,29789
436,278,4,25,3,124,10000.0,29793
345,97,11,30,2,201,7947.0,29807
447,154,11,33,2,197,9867.5,29809
150,39,2,6,0,43,3212.0,29885
93,7,5,3,0,103,2329.5,30001
81,8,3,3,0,102,2352.0,30003
139,16,5,8,2,135,3882.0,30017
275,69,4,13,2,130,5779.0,30047
180,57,2,7,0,43,3635.0,30061
160,43,2,7,0,45,3409.0,30065
380,258,4,22,2,82,8793.0,30067
145,22,11,13,0,142,3173.8,30069
92,8,5,3,0,95,2296.5,30077
93,13,8,3,0,90,2075.5,30079
275,68,4,13,2,129,5769.0,30081
88,8,5,3,2,112,2533.0,30083
452,283,4,26,3,132,10378.0,30085
276,71,4,13,2,128,5811.0,30087
74,12,8,3,0,58,1479.5,30091
56,7,3,3,0,85,1904.0,30093
80,11,6,3,0,85,1821.5,30095
209,84,2,10,1,46,4448.0,30107
79,13,8,2,0,49,1357.5,30109
2272,1233,1228,997,221,2741,115576.1,30689
454,124,27,71,14,311,9043.05,34435
1380,537,102,504,47,1269,45360.4,39167
492,283,37,81,13,1191,19890.0,43425
489,283,37,83,13,1189,19833.0,43597
564,326,45,81,17,1252,21941.0,43601
704,217,47,142,27,923,17551.5,43613
1779,773,605,513,449,1886,83192.7,49065
214,77,2,12,2,57,4695.0,49081
395,196,4,19,2,85,8597.0,49083
292,109,2,15,2,66,6051.0,49085
3246,1395,887,678,557,2573,121010.85,52617
2389,1153,599,493,371,2016,86229.25,65197
640,191,61,62,213,352,15259.8,76047
46,15,3,1,11,22,1111.5,85861
107,28,0,40,6,12,2166.0,87765
2158,726,500,473,378,1826,74656.5,91101
251,258,0,10,54,260,7350.5,96149
133,33,1,17,47,66,3391.0,96355
1754,807,802,563,267,1902,82926.29999999999,96937
358,264,0,40,62,270,9232.5,102148
6,17,0,0,0,8,223.0,102426
1464,1020,576,610,255,2469,76551.73,102762
286,234,0,40,33,37,7098.5,105154
79,23,3,2,6,22,1938.0,110162
352,238,133,67,8,377,10420.0,113468
368,381,127,134,3,502,17765.75,113929
492,171,66,104,4,478,14267.5,113933
583,258,95,93,7,664,15349.5,114061
510,338,165,88,3,569,21176.1,114395
360,241,135,79,8,404,11010.0,119083
4014,1657,1652,1453,545,3462,174844.3,121049
2993,1256,1197,1056,93,2653,122400.2,121359
315,301,3,5,43,124,8505.5,121375
247,107,132,12,7,254,6274.0,121379
626,178,98,229,123,980,26071.75,121381
535,1222,79,123,90,930,29648.75,121415
116,30,0,40,3,7,2126.0,121417
2210,1005,885,716,287,2278,98865.29999999999,121827
19,4,0,0,11,6,422.5,122085
795,375,220,151,92,1372,36404.130000000005,122923
1374,991,532,599,254,2392,72279.73,122939
1379,991,536,603,253,2415,72739.23,123159
2649,1205,757,514,709,2498,107929.6,130825
1014,1464,150,243,119,1693,44495.630000000005,131835
2008,1132,1011,919,251,2573,102974.6,133822
52,24,19,0,0,19,1126.0,134442
454,204,152,111,54,729,24102.25,135084
1310,968,472,510,198,2427,66858.73,135100
801,702,372,154,100,1604,46719.75,138056
674,312,105,274,3,765,21693.35,144890
691,188,36,82,4,610,13529.15,144888
442,264,37,81,9,1124,18272.0,144892
52,23,19,0,0,19,1112.0,148203
3569,1511,1243,970,472,3026,148748.85,151672
765,484,78,133,5,803,21005.63,151690
3182,1400,843,561,816,2702,120999.6,152286
1050,1692,735,357,94,1961,73666.7,152836
119,39,0,40,6,7,2269.0,152976
3062,2333,1399,1075,323,3263,151577.7,153648
517,183,37,97,16,715,12361.25,153658
518,291,172,162,56,898,26790.25,153670
2970,2330,1395,1080,326,3191,149449.7,153678
906,450,97,119,27,1087,22963.63,153676
2820,2049,1393,1068,319,3094,145857.1,153704
2463,1898,1360,1065,333,3040,139349.7,153710
84,26,0,13,0,6,1579.0,156033
492,283,37,81,13,1191,19890.0,156355
651,264,101,296,3,790,22245.85,156357
755,382,13,46,8,225,17168.0,156663
392,104,9,26,5,105,8298.0,156673
944,1077,118,210,109,1435,36421.630000000005,156889
258,191,16,28,13,783,16105.0,156897
683,314,163,188,479,910,35591.35,159865
180,35,0,40,6,28,3305.0,160059
542,157,52,71,4,374,13833.5,161583
4122,2263,1640,965,528,3456,173204.6,161581
349,98,10,42,9,69,8743.0,184011
773,382,12,46,8,224,17439.0,192347
992,350,187,33,250,531,26570.0,196879
6,17,0,0,0,8,223.0,198537
184,46,36,25,1,184,5529.5,198787
1270,247,11,8,198,183,20251.55,203555
315,125,31,69,2,214,6754.5,204791
2661,1205,757,514,744,2492,108222.6,209101
2210,1004,884,715,287,2276,98842.29999999999,211261
949,1076,118,210,109,1434,36489.130000000005,211375
905,681,366,133,97,1679,44862.130000000005,213569
3,1,5,0,2,19,373.0,213765
894,384,180,231,553,1410,45527.25,213789
495,212,84,102,5,568,14684.0,236401
1381,569,133,540,43,1397,46739.8,244811
